"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2018&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Dec 03 2019 12:54:36 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Aurora Energy LLC Chena","AK",317902,437,724
"Austin Gas Recovery","TX","--",0,538
"Avenue A Generator Sets","IL",143,0,3
"Avon Lake","OH",1080706,3351,1515
"Avon Park","FL",961,0,3
"Axiall Natrium Plant","WV",370789,2,319
"Axiall Plaquemine","LA",1020363,6,3187
"B Braun Medical","CA",33289,0,91
"B L England","NJ",16027,17,31
"BASF Freeport Works","TX",414686,2,1108
"BC Landfill Energy LLC","NJ","--",0,519
"BJ Gas Recovery","GA","--",0,100
"BMW Manufacturing Co","SC","--",0,92
"BP Naperville Cogeneration Facility","IL",50598,0,137
"BYUI Central Energy Facility","ID",25174,0,68
"Back River Waste Water Treatment","MD","--",0,168
"Backus Microgrid Project","CT",712,1,14
"Bacliff","TX",47759,0,54
"Baconton Power Plant","GA",33999,0,29
"Badger Creek Limited","CA",3953,0,56
"Bailly","IN",224220,48,179
"Baldwin City Plant No 1","KS",29,0,0
"Baldwin City Plant No 2","KS",202,0,4
"Baldwin Energy Complex","IL",6919825,2723,2700
"Bank of America Plaza","GA",4,0,0
"Bannock County LFG to Energy","ID","--",0,110
"Baptist Medical Center","FL",15337,0,41
"Barber Creek","WY",249,0,1
"Barney M Davis","TX",748391,3,157
"Barre Peaker","CA",17984,0,2
"Barron","WI",1,0,0
"Barrow","AK",40234,0,113
"Basin Creek Plant","MT",64183,0,1461
"Bassett Medical Center","NY",31,0,1
"Bastrop Energy Center","TX",884161,4,215
"Batavia Power Plant","NY",17829,0,18
"Batesville Generation Facility","MS",1414625,7,332
"Battle Creek Mill","MI",62238,0,143
"Bavarian LFGTE","KY","--",0,475
"Baxter Wilson","MS",531313,2,1009
"Bay County Waste to Energy","FL",48253,18,238
"Bay Front","WI",12452,78,291
"Bay View Backup Power Facility","OH",555,0,14
"Bayboro","FL",8075,14,45
"Bayonne Energy Center","NJ",431178,2,29
"Bayou Cogen Plant","TX",1505624,9,260
"Bayou Cove Peaking Power","LA",70726,0,16
"Bayswater Peaking Facility LLC","NY",86262,0,8
"Baytown Energy Center","TX",1787730,9,159
"Bayview","VA",2086,4,42
"Bayville Central Facility","NJ",460,0,147
"Bear Garden","VA",1451432,8,89
"Bear Mountain Limited","CA",17826,0,240
"Bear Valley Power Plant","CA",415,0,10
"Beatrice","NE",193542,1,24
"Beaver","OR",271405,1,594
"Beaver Creek Gas Plant","WY",25459,0,66
"Beaver Dam","PA",26617,0,609
"Beaver Island","MI",173,0,3
"Beecher Gas Recovery","IL","--",0,163
"Belews Creek","NC",7044293,3737,6597
"Belle Haven Diesel Generation Facility","VA",172,0,3
"Belle River","MI",7581148,21793,7528
"Bellefontaine Gas Producers LLC","OH","--",0,515
"Belleville","KS",67,0,2
"Bellevue","IA",719,1,15
"Bellingham Cogeneration Facility","MA",62729,0,46
"Bellmeade Power Station","VA",25244,16,6
"Beloit","KS",29,0,1
"Beloit Memorial Hospital Power Plant","WI",60,0,1
"Beluga","AK",37472,0,105
"Ben French","SD",4410,4,35
"Bennett Mountain","ID",86383,0,60
"Benson City of","MN",61,0,1
"Benson Power Biomass Plant","MN",5151,64,146
"Beowawe Power","NV",2618,"--","--"
"Bergen Generating Station","NJ",1620698,9,255
"Berkeley County Landfill","SC","--",0,62
"Berkshire Power","MA",254905,1,43
"Berlin","MD",351,1,7
"Berlin 5","VT",1104,2,6
"Berlin Landfill Gas","WI","--",0,156
"Bernice Lake","AK",1258,0,4
"Berry Cogen","CA",206418,1,559
"Berry Cogen Tanne Hills 18","CA",93041,0,252
"Berry NMW Cogens","CA",27965,0,76
"Berry Placerita Cogen","CA",192771,1,522
"Bethel","AK",29011,51,598
"Bethlehem Energy Center","NY",1915599,10,88
"Bethlehem Power Plant","PA",1798711,21,92
"Bethlehem Renewable Energy LLC","PA","--",0,41
"Bethpage Power Plant","NY",221524,1,157
"Bi-County Gas Producers","TN","--",0,175
"Big Bend","FL",4095810,2884,2165
"Big Brown","TX",916678,6041,702
