"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2011&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:10:06 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Bayville Central Facility","NJ",563,0,66
"Bear Canyon Power Plant","CA",2640,"--","--"
"Bear Garden","VA",837195,5,70
"Bear Mountain Limited","CA",147472,1,397
"Bear Valley Power Plant","CA",285,0,7
"Beatrice","NE",55670,0,6
"Beaver","OR",31832,0,86
"Beaver City","NE",13,0,0
"Beaver Creek Gas Plant","WY",11892,0,32
"Beaver Island","MI",143,0,3
"Beecher Gas Recovery","IL","--",0,247
"Belews Creek","NC",13740968,3000,3630
"Belle River","MI",7917676,23435,7893
"Bellefontaine Gas Producers LLC","OH","--",0,478
"Belleville","KS",105,0,2
"Bellevue","IA",59,0,1
"Bellingham Cogeneration Facility","MA",276602,1,231
"Bellmeade Power Station","VA",237340,5,62
"Beloit","KS",3432,0,76
"Beluga","AK",1275048,7,3572
"Ben French","SD",191231,535,419
"Benedum Plant","TX",3413,0,74
"Benndale","MS",12,0,0
"Bennett Mountain","ID",28235,0,17
"Benning","DC",113950,656,185
"Benson City of","MN",61,0,1
"Benson Power Biomass Plant","MN","--",53,380
"Beowawe Power","NV",2979,"--","--"
"Bergen Generating Station","NJ",2459753,13,399
"Berkeley County Landfill","SC","--",0,66
"Berkshire Power","MA",413654,2,36
"Berlin","MD",273,0,5
"Berlin 5","VT",4812,0,26
"Berlin Landfill Gas","WI","--",0,239
"Bernice Lake","AK",31958,0,90
"Berry Cogen","CA",198573,1,541
"Berry Cogen Tanne Hills 18","CA",90832,0,248
"Berry Placerita Cogen","CA",191969,1,526
"Bethany","MO",65,0,1
"Bethany II","MO",48,0,1
"Bethel","AK",30201,0,623
"Bethlehem Power Plant","PA",1770381,12,115
"Bethlehem Renewable Energy LLC","PA","--",0,64
"Bethpage Power Plant","NY",196629,1,61
"Big Bend","FL",9167139,8260,4201
"Big Brown","TX",8657655,58240,5256
"Big Cajun 1","LA",67495,0,37
"Big Cajun 2","LA",13240737,35126,11085
"Big Sandy","KY",5770238,38230,6016
"Big Sandy Peaker Plant","WV",19463,0,14
"Big Sky Dairy Digester","ID","--",0,219
"Big Stone","SD",2634773,9673,8911
"Binghamton Cogen","NY",1505,0,9
"Biola University","CA",7869,0,182
"Biomass One LP","OR","--",16,90
"Biotech LS 0836","WA",1,0,0
"Birchwood Power","VA",489326,208,229
"Bird City","KS",54,0,1
"Biron Mill","WI",496590,5868,1065
"Black Dog","MN",1391759,2679,5116
"Black Hawk Station","TX",938595,51,432
"Black Mountain Generating Station","AZ",2726,0,9
"Blackburn Landfill Co-Generation","NC","--",0,287
"Blacksand Generating Facility","CA","--",0,57
"Blewett","NC",612,4,9
"Block Island","RI",8927,0,178
"Bloomfield","IA",36,0,0
"Blooming Prairie","MN",123,0,2
"Bloomington Power Plant","UT",65,0,1
"Blossburg","PA",3910,0,11
"Blount Street","WI",25248,1,37
"Blue Earth","MN",13,0,0
"Blue Lake","MN",57689,0,12
"Blue Lake Power LLC","CA",1,1,6
"Blue Spruce Energy Center","CO",176993,2,50
"Blue Valley","MO",199993,2011,119
"Blue Water Renewables Inc","MI","--",0,42
"Bluebonnet","TX","--",0,45
"Bluegrass Generating Station","KY",20320,0,8
"Bluffview","NM",98851,1,37
"Blundell","UT",7144,"--","--"
"Blythe Energy Inc","CA",483760,2,46
"Boardman","OR",3240140,11888,3916
"Boise Cascade International Falls","MN",130724,1587,660
