"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2017&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Dec 03 2019 12:52:51 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Batesville Generation Facility","MS",1304089,7,294
"Battle Creek Mill","MI",61254,0,141
"Bavarian LFGTE","KY","--",0,482
"Baxter Wilson","MS",375617,2,720
"Bay County Waste to Energy","FL",60198,26,305
"Bay Front","WI",10813,75,321
"Bay View Backup Power Facility","OH",114,0,52
"Bayboro","FL",3115,5,17
"Bayonne Energy Center","NJ",332015,1,23
"Bayonne Plant Holding LLC","NJ",19646,0,7
"Bayou Cogen Plant","TX",1670293,9,267
"Bayou Cove Peaking Power","LA",62058,0,13
"Bayswater Peaking Facility LLC","NY",56631,0,9
"Baytown Energy Center","TX",1729446,9,158
"Bayview","VA",1245,2,25
"Bayville Central Facility","NJ",512,0,147
"Bear Garden","VA",1114763,6,75
"Bear Mountain Limited","CA",16592,0,241
"Bear Valley Power Plant","CA",406,0,9
"Beatrice","NE",124837,1,17
"Beaver","OR",203821,1,448
"Beaver Creek Gas Plant","WY",22112,0,59
"Beaver Dam","PA",26212,0,600
"Beaver Island","MI",177,0,3
"Beecher Gas Recovery","IL","--",0,134
"Belews Creek","NC",8210863,4139,6447
"Belle Haven Diesel Generation Facility","VA",80,0,2
"Belle River","MI",6993467,20466,7032
"Bellefontaine Gas Producers LLC","OH","--",0,512
"Belleville","KS",83,0,2
"Bellevue","IA",8,0,0
"Bellingham Cogeneration Facility","MA",347830,2,235
"Bellmeade Power Station","VA",83738,1,19
"Beloit","KS",69,0,2
"Beluga","AK",99422,1,279
"Ben French","SD",7261,4,37
"Benndale","MS",771,0,2
"Bennett Mountain","ID",49689,0,35
"Benson City of","MN",30,0,1
"Benson Power Biomass Plant","MN",4825,95,356
"Beowawe Power","NV",2582,"--","--"
"Bergen Generating Station","NJ",1406624,7,195
"Berkeley County Landfill","SC","--",0,63
"Berkshire Power","MA",156573,1,64
"Berlin","MD",198,0,4
"Berlin 5","VT",2918,6,16
"Berlin Landfill Gas","WI","--",0,197
"Bernice Lake","AK",157,0,0
"Berry Cogen","CA",176294,1,477
"Berry Cogen Tanne Hills 18","CA",88118,0,238
"Berry Placerita Cogen","CA",201008,1,544
"Bethel","AK",29514,52,608
"Bethlehem Energy Center","NY",1974268,10,111
"Bethlehem Power Plant","PA",2065940,15,105
"Bethlehem Renewable Energy LLC","PA","--",0,58
"Bethpage Power Plant","NY",299156,1,196
"Bi-County Gas Producers","TN","--",0,184
"Big Brown","TX",8610921,43212,5260
"Big Cajun 1","LA",66371,0,44
"Big Cajun 2","LA",5860674,12835,3727
"Big Sand Draw Plant","WY",15319,0,364
"Big Sandy","KY",307120,14,448
"Big Sandy Peaker Plant","WV",64642,0,55
"Big Sky Dairy Digester","ID","--",0,222
"Big Stone","SD",2176012,767,893
"Binghamton Cogen","NY",2013,0,3
"BioTown Ag","IN","--",0,766
"Biola University","CA",8934,0,204
"Biomass One LP","OR","--",18,116
"Biomass to Energy Facility, Kauai","HI",662,4,59
"Birchwood Power","VA",424066,185,195
"Bird City","KS",18,0,0
"Biron Mill","WI",264393,578,397
"Black Dog","MN",270333,1,46
"Black Hawk Station","TX",972970,65,481
"Black Mountain Generating Station","AZ",29278,1,23
"Black Oak Power Producers","MO","--",0,208
"Blackburn Landfill Co-Generation","NC","--",0,0
"Blacksand Generating Facility","CA","--",0,56
"Blewett","NC",384,2,5
"Block Island","RI",2260,4,44
"Bloomfield","IA",64,0,1
"Blooming Prairie","MN",73,0,2
"Bloomington Power Plant","UT",13,0,0
"Blossburg","PA",1095,0,3
"Blount Street","WI",17225,0,27
"Blue Earth","MN",26,0,1
"Blue Lake","MN",49508,1,27
"Blue Mountain Biogas","UT","--",0,344
"Blue Ridge Generating","KY","--",0,81
"Blue Ridge Landfill","PA","--",0,567
"Blue Spruce Energy Center","CO",210356,1,61
"Blue Valley","MO",4971,0,4
"Blue Water Renewables Inc","MI","--",0,231
"Bluegrass Generating Station","KY",47525,0,30
"Bluffview","NM",174036,1,66
"Blundell","UT",6551,"--","--"
"Blythe Energy Inc","CA",679329,3,47
"Boardman","OR",1735059,2974,1668
"Boise Cascade Pulp & Paper Mill","AL",195913,1443,431
"Bonanza","UT",3106616,1129,4880
"Bonanza BioEnergy LLC","KS",55096,0,120
"Borger Plant","TX",7638,8,229
"Bos Dairy, LLC","IN","--",0,191
"Bosque County Peaking","TX",1718188,9,239
"Bostic Delivery No 2","NC",0,0,0
"Boston Medical Center CHP Plant","MA",6517,0,150
"Boulder Park","WA",13197,0,306
"Boulevard","GA",128,0,1
"Bountiful City","UT",11432,0,34
"Bowater Newsprint Calhoun Operation","TN",96038,2570,12
"Bowen","GA",12934209,8573,7949
"Bowerman Power LFG, LLC","CA","--",1,1604
"Bowline Point","NY",695659,60,677
"Bowling Green","OH",9,0,0
"Bowling Green Generating Station","OH",2306,0,1
"Bowling Green Peaking","OH",1292,0,1
"Boydton Plank Road Cogen Plant","VA",84,0,2
"Bradley Energy Center","CT",11733,0,270
"Brady","NV",1269,"--","--"
"Brame Energy Center","LA",5871003,4696,2343
"Brandon Shores","MD",4054586,2281,1484
"Brandon Station","TX",5718,0,15
"Brandy Branch","FL",1545727,7,137
"Brandywine Power Facility","MD",314617,2,71
"Branford","CT",424,1,3
"Brayton Point","MA",1158788,500,533
"Brea Expansion Plant","CA","--",1,147
"Breese","IL",273,0,5
"Bremo Bluff","VA",71197,0,78
"Brent Run Generating Station","MI","--",0,579
"Brentwood","NY",27647,0,2
"Brevard","FL","--",0,541
"Brevig Mission","AK",836,1,17
"Bridge Street 1 & 2","CT",306,1,6
"Bridgeport Energy Project","CT",893917,5,124
"Bridgeport Fuel Cell Park","CT",42141,0,0
"Bridgeport Gas Processing Plant","TX",28721,0,686
"Bridgeport Station","CT",248444,207,158
"Bridgewater Dairy Anaerobic Digester","OH","--",0,168
"Bridgewater Power LP","NH",94,29,33
"Bristol Myers Squibb Lawrenceville","NJ",26446,0,71
"Bristol Myers Squibb New Brunswick","NJ",47750,0,127
"Bristol Myers Squibb Wallingford","CT",20582,0,55
"Bristol Plant","VA",509,1,119
"Broad Mountain","PA","--",1,124
"Broad River Energy Center","SC",229068,1,69
"Broadridge Cogen","CA",7309,0,168
"Broadway (IN)","IN",2762,0,6
"Broken Bow","NE",22,0,0
"Bronx Zoo","NY",13956,0,300
"Brooklyn","IA",7,0,0
"Brooklyn City North Plant","IA",5,0,0
"Brooklyn Navy Yard Cogeneration","NY",975485,5,57
"Brookside Newark","DE",8997,0,0
"Broshco Fabricated Products","OH",2147,0,7
"Brown County LFGTE Power Station","OH","--",0,193
"Brown Station Road Plant I","MD","--",0,72
"Brown Station Road Plant II","MD","--",0,496
"Brownsville Peaking Power","TN",191880,1,122
"Brunner Island","PA",2434115,1407,2345
"Brunot Island","PA",39263,0,9
"Brunswick Cellulose","GA",98666,5380,1558
"Brunswick County Power Station","VA",3021538,15,148
"Brunswick Landfill Gas","VA",2406,4,653
"Brush Generation Facility","CO",21315,0,11
"Bryan (OH)","OH",1622,0,4
"Bryan (TX)","TX",342,0,1
"Bryan Peaking","OH",283,0,6
"Bryon Center","MI","--",0,271
"Buchanan Generation LLC","VA",90873,0,59
"Buck","NC",1915450,9,136
"Buckeye Florida LP","FL",206316,6414,2388
"Bucknell University","PA",28156,0,65
"Bucksport Generation LLC","ME",4513,0,2
"Bull Run","TN",2619263,511,1180
"Bull Street Plant","SC",19,0,0
"Bunge North America East LLC","IN",29103,0,70
"Bunge Oil","IL",12743,0,36
"Buras","LA",4335,0,13
"Burgess BioPower","NH",533,14,210
"Burlingame","KS",25,0,0
"Burlington (CO)","CO",2512,4,15
"Burlington (IA)","IA",1125078,2775,807
"Burlington (KS)","KS",38,0,1
"Burlington GT","VT",611,1,3
"Burney Forest Products","CA",11063,23,37
"Burnside Alumina Plant","LA",153680,1,152
"Burwell","NE",17,0,0
"Bushnell","IL",120,0,2
"Butler Municipal Power Plant","MO",75,0,1
"Butler-Warner Generation Plant","NC",10254,7,29
"Buxton","NC",1211,2,24
"C D McIntosh Jr","FL",2047880,1323,1616
"C P Kelco San Diego Plant","CA",56514,0,154
"C R Wing Cogen Plant","TX",34243,0,39
"C W Burdick","NE",4219,0,1
"C&H Sugar Plant","CA","--",0,0
"CBS Studio Center","CA",4436,0,0
"CC Landfill Energy, LLC","NV","--",0,70
"CC Perry K","IN",216455,1,300
"CCCSD Wastewater Treatment Plnt","CA",17068,0,46
"CCSU Co-Gen-STBY Gen","CT",5693,0,122
"CCSU Fuel Cell Project","CT",4340,0,0
"CE Leathers","CA",9610,"--","--"
"CE Turbo LLC","CA",1927,"--","--"
"CF Industries Yazoo City Complex","MS",107153,0,273
"CFB Power Plant","TX",345115,0,166
"CH Resources Beaver Falls","NY",2931,0,1
"CH Resources Syracuse","NY",9051,0,4
"CID Gas Recovery","IL","--",0,45
"CII Methane Management III LFG Plant","GA","--",0,102
"CII Methane Management IV, LLC","NC","--",0,125
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",24237,0,72
"CITGO Refinery Powerhouse","LA","--",4,275
"CJTS Energy Center","CT",1419,0,0
"CML&P Generating Facility No. 2","KS",29024,0,673
"COC Surry LFG, LLC","NC","--",0,71
"CP Crane Power, LLC","MD",276546,751,485
"CPI USA NC Roxboro","NC",208596,2186,423
"CPI USA NC Southport","NC",376925,3281,833
"CPV St Charles Energy Center","MD",1424192,7,69
"CSL Behring LLC","IL",15067,0,41
"CSL Gas Recovery","FL","--",0,60
"CSU East Bay","CA",2642,0,0
"CSU Northridge Plant","CA",3558,0,0
"CSUCI Site Authority","CA",80238,0,186
"CSUF Trigeneration","CA",18325,0,50
"CT Resource Rec Authority Facility","CT",252947,38,678
"Cadillac Renewable Energy","MI",156,53,166
"Caithness Long Island Energy Center","NY",949493,4,47
"CalPeak Power Border Peaker Plant","CA",7388,0,1
"CalPeak Power Enterprise Peaker Plant","CA",7127,0,1
"CalPeak Power Panoche Peaker Plant","CA",9102,0,1
"CalPeak Power Vaca Dixon Peaker Plant","CA",5526,0,0
"Calabasas Gas to Energy Facility","CA","--",1,132
"Calcasieu","LA",211626,1,155
"Caledonia","MS",1647777,8,156
"Calhoun Energy Center","AL",92440,0,28
"California Institute of Technology","CA",58837,0,136
"California State University San Bernardi","CA",4003,0,0
"Calistoga Power Plant","CA",12331,"--","--"
"Caltech Central","CA",2793,0,0
"Calumet Energy Team LLC","IL",13729,0,10
"Calvert City","KY",219149,1,64
"Cambria Cogen","PA",731251,2193,658
"Cambridge","NE",30,0,1
"Cambridge CT","MN",14456,0,10
"Camden Plant Holdings LLC","NJ",20157,0,8
"Camden Resource Recovery Facility","NJ",142150,43,459
"Camden South Carolina","SC",73454,0,60
"Campbell Industrial Park","HI","--",451,362
"Campbell Village","NE",1,0,0
"Cana Gas Processing Plant","OK",602,1,12
"Canaday","NE",1027,0,3
"Cane Island","FL",1396119,7,102
"Cane Run","KY",1340205,7,288
"Cannon Falls Energy Center","MN",26049,0,16
"Canton North Carolina","NC",880348,7856,1595
"Canyon Power Plant","CA",90633,0,7
"Cape Canaveral","FL",2451893,19,154
"Cape Gas Turbine","ME",1566,3,9
"Capitol District Energy Center","CT",30386,0,20
"Carbon Limestone","OH","--",1,2131
"Cardinal","OH",9794368,10212,3532
"Cargill B6 Biofactory","ID","--",0,288
"Cargill Corn Milling Division","IA",214931,52,265
"Cargill Dry Creek Biofactory","ID","--",0,283
"Cargill Salt","MI",68105,0,163
"Cargill Salt Hersey","MI",5650,0,13
"Carl Bailey","AR",13442,2,21
"Carleton College","MN",36,0,1
"Carlls Corner","NJ",8697,0,78
"Carlyle","IL",217,0,4
"Carmi","IL",177,0,4
"Carr Street Generating Station","NY",39765,0,9
"Carroll County Energy","OH",200216,1,152
"Carson Cogeneration","CA",2444,0,1
"Carson Ice-Gen Project","CA",134057,1,8
"Carthage","MO",468,0,12
"Carthage Energy LLC","NY",2598,0,3
"Carty Generating Station","OR",864343,4,49
"Carville Energy LLC","LA",1361330,7,357
"Cascade","IA",47,0,1
"Cascade Creek","MN",14355,0,28
"Casey City of","IL",75,0,1
"Cashton","WI",7,0,0
"Cass County","NE",12311,0,6
"Castleton Energy Center","NY",78248,0,55
"Catawba River Pollution Control","NC",55,0,1
"Caterpillar","IN",18096,0,412
"Cayuga","IN",5355442,1736,6406
"Cayuga Operating Company","NY",248736,459,282
"Cedar Bayou","TX",1021537,5,487
"Cedar Bayou 4","TX",590033,3,71
"Cedar Hills","WA",1324,2,269
"Celanese Acetate LLC","VA",433397,2,51
"Cellu Tissue","CT",8653,0,200
"Centennial","AK",2858,5,59
"Centennial Generating Station","MN",41,0,1
"Center Peaker","CA",13119,0,1
"Central District Wastewater Treat Plant","FL","--",0,210
"Central Energy Facility","SC",170,0,0
"Central Energy Plant USU","UT",22592,0,61
"Central Michigan University","MI",25634,0,67
"Central Plant","SC",4,0,0
"Central Power Plant","RI",35001,0,100
"Central Utilities Plant LAX 2","CA",19332,0,52
"Central Utility Plant","TX",14018,1,32
"Central Utility Plant - Texas A&M","TX",109099,0,216
"Central Utility Plant Cincinnati","OH",129487,1,268
"Central Utility Plant at White Oak","MD",76845,1,227
"Central Valley Ag Power","CA","--",0,20
"Century Generating Facility","CA",1249,0,3
"Ceredo Generating Station","WV",100149,1,27
"Chaffee Gas Recovery","NY","--",0,677
"Chalk Cliff Limited","CA",10411,0,28
"Chalk Point LLC","MD",775454,495,687
"Chalmette Refining LLC","LA","--",0,23
"Chambers Cogeneration LP","NJ",881054,959,594
"Chambersburg","PA",89788,0,62
"Chamon Power LLC","TX",3140,0,8
"Channel Energy Center LLC","TX",1922245,6,163
"Channelview Cogeneration Plant","TX",2902619,15,255
"Chanute 2","KS",16539,0,17
"Chanute 3","KS",430,0,11
"Chappell","NE",4,0,0
"Charles City","VA",2912,5,677
"Charles D. Lamb Energy Center","OK",34061,0,9
"Charles P Keller","NY",1599,1,33
"Charles R Lowman","AL",1422393,1007,2013
"Charter Dura-Bar","IL",5092,0,111
"Chatham","MI",78,0,0
"Chattahoochee Energy Facility","GA",1261967,7,93
"Chautauqua LFGTE Facility","NY","--",0,543
"Chehalis Generating Facility","WA",710809,7,72
"Cherokee","CO",2358932,1104,1743
"Cherokee County Cogen","SC",268047,2,64
"Cherry Street","MA",186,0,3
"Cherryville City Hall","NC",70,0,1
"Chesapeake","VA",126,0,1
"Chester Generating Station","PA",1066,2,6
"Chester Operations","PA",367433,440,192
"Chesterfield","VA",4496339,1232,2205
"Chesterfield Landfill Gas","VA",3827,7,933
"Chestnut Ridge Gas Recovery","TN","--",0,374
"Cheswick Power Plant","PA",1333633,1810,940
"Chevak","AK",1505,3,31
"Chevron Oil","MS",766522,7,158
"Cheyenne Prairie Generating Station","WY",52614,0,4
"Chicago West Side Energy Center","IL",9982,0,28
"Childrens Hospital","CA",21782,0,59
"Chillicothe","MO",474,0,3
"Chino Mines","NM",832,0,1
"Choctaw County","MS",1514231,8,131
"Cholla","AZ",3855056,1592,3691
"Chouteau","OK",1085104,6,129
"Chowchilla II","CA",12721,0,295
"Christiana","DE",4,0,1
"Chuck Lenzie Generating Station","NV",2429348,13,216
"Chula Vista Energy Center","CA",2795,0,1
"Church Street Plant","VA",47,0,1
"Cimarron River","KS",739,0,1
"Cinnamon Bay Edgeboro Landfill","NJ",832,0,436
"City Light & Water","NE",7,0,0
"City West Diesel Plant","SC",41,0,1
"City of Hayward WWTP","CA",181,0,151
"City of Palo Alto","CA",10,0,0
"City of Shelby Electric Distribution","OH",1833,3,34
"City of West Plains Power Station","MO",902,1,4
"CityCenter Central Plant Cogen Units","NV",36044,0,92
"Civic Center","CA",97048,0,220
"Clairton Works","PA",37186,3,148
