state_and_county_fips_code,PM25,PM10,NOX,SO2,PM25.PRI_wildfire,PM10.PRI_wildfire,NOX_wildfire,SO2_wildfire,PM25_wildfire_percentage,PM10_wildfire_percentage,NOX_wildfire_percentage,SO2_wildfire_percentage
1129,35766956.67434757,36113467.0526463,59005849.13099914,24855892.155313104,204.316284,241.093319,53.653323,23.617499,5.712431333206991e-6,6.675994820672675e-6,9.092882110870742e-7,9.501770788360783e-7
1131,9058534.055857,8905942.487189699,6842651.181113056,7719579.619216424,63.505115,74.936027,15.425336,6.999818,7.010528923158304e-6,8.414160220300986e-6,2.2542923191199186e-6,9.067615524782315e-7
1133,9342101.55299401,9597304.809112517,4712191.876050801,3731995.990494731,565.125248,666.846971,147.150088,64.983815,6.04923040917796e-5,6.948273335726895e-5,3.122752465744746e-5,1.7412616510176222e-5
2013,206.47945837503,871.37546509203,3455.62565871,24.8223970888955,NA,NA,NA,NA,NA,NA,NA,NA
2016,332.38309296452,1560.42122639407,4087.3072600785003,101.4835984230755,NA,NA,NA,NA,NA,NA,NA,NA
2020,3234.9711339759997,11871.418129567,11183.848319286,505.93115793095,2.56853,3.030802,0.454192,0.236829,7.939885376482793e-4,2.5530243875847254e-4,4.0611423459380084e-5,4.681051883986214e-4
2050,379.004568059,2709.367110177,1376.980769561,113.33681812808,8.110605,9.570524,1.361461,0.72816,0.021399755262942938,0.003532383619794797,9.88729131223853e-4,0.00642474362723964
2060,50.081981995,227.144338136,565.790390305,16.502867543407,NA,NA,NA,NA,NA,NA,NA,NA
2068,111.070380614,500.991004051,879.9103707564,666.279470240958,11.861953,13.997238,1.058192,0.81089,0.10679672595364137,0.027939100476492996,0.0012026133969649014,0.0012170418513821897
2070,225.471998441,1127.922613752,718.0010254536,32.600734630553,77.10697,90.98624,11.542065,6.541117,0.3419802482487724,0.08066709443597116,0.016075276484052724,0.20064323930509673
