"","state_and_county_fips_code","county_name","sector","NOX","PM10-PRI","PM25-PRI","SO2"
"755",20121,"Miami","Fires - Wildfires",0.070984,0.27757,0.235222,0.029709
"756",20125,"Montgomery","Fires - Wildfires",0.219998,0.861491,0.730096,0.092102
"757",20129,"Morton","Fires - Wildfires",0.002332,0.009192,0.007779,0.000971
"758",20155,"Reno","Fires - Wildfires",8.804339,56.132698,47.570089,4.494134
"759",20159,"Rice","Fires - Wildfires",0.460439,1.809948,1.533821,0.193002
"760",20161,"Riley","Fires - Wildfires",9.130525,37.27046,31.58515,3.878881
"761",20163,"Rooks","Fires - Wildfires",33.29077,133.4471,113.0908,14.05151
"762",20167,"Russell","Fires - Wildfires",99.6907,411.0748,348.3685,42.50576
"763",20175,"Seward","Fires - Wildfires",5.690873,22.759689,19.287824,2.400099
"764",20177,"Shawnee","Fires - Wildfires",0.000464,0.002447,0.002,0.000195
"765",20181,"Sherman","Fires - Wildfires",0.164346,0.646033,0.547481,0.068879
"766",20185,"Stafford","Fires - Wildfires",2.332058,19.402015,16.442402,1.359622
"767",21001,"Adair","Fires - Wildfires",0.749729,4.061998,3.44237,0.355873
"768",21011,"Bath","Fires - Wildfires",0.368655,1.860121,1.57641,0.169866
"769",21013,"Bell","Fires - Wildfires",29.506346,166.027768,140.701487,14.236701
"770",21019,"Boyd","Fires - Wildfires",0.452581,2.325805,1.971023,0.210112
"771",21025,"Breathitt","Fires - Wildfires",43.895651,248.553128,210.638287,21.237622
"772",21027,"Breckinridge","Fires - Wildfires",1.393944,7.230993,6.127961,0.649698
"773",21031,"Butler","Fires - Wildfires",2.00725,11.337714,9.608198,0.970104
"774",21033,"Caldwell","Fires - Wildfires",0.845485,4.344895,3.682111,0.392529
"775",21039,"Carlisle","Fires - Wildfires",0.222306,1.013288,0.858726,0.09839
"776",21043,"Carter","Fires - Wildfires",31.85521,171.916041,145.691556,15.096495
"777",21045,"Casey","Fires - Wildfires",0.375505,2.096311,1.776533,0.180554
"778",21047,"Christian","Fires - Wildfires",0.149206,0.766742,0.649776,0.069275
"779",21049,"Clark","Fires - Wildfires",0.001419,0.005545,0.004705,0.000588
"780",21051,"Clay","Fires - Wildfires",137.867142,778.111746,659.416741,66.608175
