% Supporting datasets from Abatzoglou and Williams, Impact of anthropogenic climate change on wildfire across western US forests, PNAS201607171
% forested area burned, units: ha, 2015 estimated from MODIS
% fuel aridity metrics calculated from gridMET (Abatzoglou, 2013)
% Z and Z_NOACC refer to standardized fuel aridity indices calculated across forested regions only using the primary gridded datasets of Abatzoglou (2013) and PRISM
% ZH and ZH_NOACC refer to the percent of forested land with fuel aridity exceeding 1 sigma
% FWSL and FWSL_NOACC refer to the fire weather season length expressed as a percent of normal from 1981-2010 NOACC baseline, data averaged over forested region
% HFD and HFD_NOACC refer to the number of days per year with fire danger indices exceedin the 1981-2010 95th percentile as derived from the 1981-2010 NOACC baseline, data averaged over forested region
% NOACC refers to metrics calculated after excluding the anthropogenic climate signal
% NaN refers to no data for the given metric and year

year, area burned, Z PDSI, Z FWI, Z ERC, Z FFDI, Z ETo, Z CWD, Z KBDI, Z VPD, Z MEAN, ZH PDSI, ZH FWI, ZH ERC, ZH FFDI, ZH ETo, ZH CWD, ZH KBDI, ZH VPD, ZH MEAN, FWSL KBDI, FWSL FFDI, FWSL FWI, FWSL ERC, FWSL MEAN, HFD KBDI, HFD FFDI, HFD FWI, HFD ERC, HFD MEAN, Z_NOACC PDSI, Z_NOACC FWI, Z_NOACC ERC, Z_NOACC FFDI, Z_NOACC ETo, Z_NOACC CWD, Z_NOACC KBDI, Z_NOACC VPD, Z_NOACC MEAN, ZH_NOACC PDSI, ZH_NOACC FWI, ZH_NOACC ERC, ZH_NOACC FFDI, ZH_NOACC ETo, ZH_NOACC CWD, ZH_NOACC KBDI, ZH_NOACC VPD, ZH_NOACC MEAN, FWSL_NOACC KBDI, FWSL_NOACC FFDI, FWSL_NOACC FWI, FWSL_NOACC ERC, FWSL_NOACC MEAN, HFD_NOACC KBDI, HFD_NOACC FFDI, HFD_NOACC FWI, HFD_NOACC ERC, HFD_NOACC MEAN,
1968, NaN, -0.22,  NaN,  NaN,  NaN, 0.02, -0.51,  NaN, -0.41, -0.28,  4.0,  NaN,  NaN,  NaN,  7.0,  2.1,  NaN,  0.7,  3.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.26,  NaN,  NaN,  NaN, -0.10, -0.56,  NaN, -0.45, -0.35,  3.5,  NaN,  NaN,  NaN,  5.5,  1.6,  NaN,  0.5,  2.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1969, NaN, -0.14,  NaN,  NaN,  NaN, 0.39, -0.23,  NaN, 0.30, 0.08,  6.8,  NaN,  NaN,  NaN, 28.1,  6.0,  NaN, 17.4, 14.6,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.17,  NaN,  NaN,  NaN, 0.27, -0.29,  NaN, 0.25, 0.01,  5.9,  NaN,  NaN,  NaN, 22.9,  4.7,  NaN, 16.6, 12.5,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1970, NaN, 0.09,  NaN,  NaN,  NaN, 0.15, 0.06,  NaN, 0.39, 0.17, 13.4,  NaN,  NaN,  NaN, 19.7, 19.8,  NaN, 28.1, 20.3,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.05,  NaN,  NaN,  NaN, 0.02, -0.01,  NaN, 0.34, 0.10, 12.1,  NaN,  NaN,  NaN, 10.8, 17.4,  NaN, 22.8, 15.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1971, NaN, -0.39,  NaN,  NaN,  NaN, -0.10, -0.33,  NaN, 0.06, -0.19,  3.1,  NaN,  NaN,  NaN,  1.3,  0.7,  NaN,  5.0,  2.5,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.44,  NaN,  NaN,  NaN, -0.23, -0.39,  NaN, 0.01, -0.26,  2.4,  NaN,  NaN,  NaN,  0.5,  0.5,  NaN,  4.3,  1.9,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1972, NaN, 0.22,  NaN,  NaN,  NaN, 0.60, 0.02,  NaN, 0.49, 0.33, 13.1,  NaN,  NaN,  NaN, 25.3,  4.0,  NaN, 23.0, 16.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.18,  NaN,  NaN,  NaN, 0.47, -0.05,  NaN, 0.43, 0.26, 11.2,  NaN,  NaN,  NaN, 14.7,  2.8,  NaN, 17.3, 11.5,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1973, NaN, 0.53,  NaN,  NaN,  NaN, 0.69, 0.54,  NaN, 0.40, 0.54, 44.2,  NaN,  NaN,  NaN, 49.7, 34.5,  NaN, 46.6, 43.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.49,  NaN,  NaN,  NaN, 0.56, 0.47,  NaN, 0.34, 0.46, 43.7,  NaN,  NaN,  NaN, 47.3, 32.7,  NaN, 45.3, 42.3,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1974, NaN, 0.36,  NaN,  NaN,  NaN, 1.24, 1.04,  NaN, 1.17, 0.95, 18.6,  NaN,  NaN,  NaN, 60.2, 52.3,  NaN, 61.1, 48.0,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.33,  NaN,  NaN,  NaN, 1.09, 0.96,  NaN, 1.10, 0.87, 16.7,  NaN,  NaN,  NaN, 54.1, 47.7,  NaN, 54.8, 43.3,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1975, NaN, -0.63,  NaN,  NaN,  NaN, -0.80, -0.47,  NaN, -0.89, -0.70,  0.1,  NaN,  NaN,  NaN,  0.3,  0.1,  NaN,  0.3,  0.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.67,  NaN,  NaN,  NaN, -0.95, -0.54,  NaN, -0.95, -0.78,  0.1,  NaN,  NaN,  NaN,  0.2,  0.1,  NaN,  0.3,  0.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1976, NaN, 0.02,  NaN,  NaN,  NaN, -0.44, -0.24,  NaN, -0.72, -0.34,  5.6,  NaN,  NaN,  NaN,  2.0,  2.0,  NaN,  1.0,  2.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.03,  NaN,  NaN,  NaN, -0.61, -0.33,  NaN, -0.79, -0.44,  4.7,  NaN,  NaN,  NaN,  1.6,  1.3,  NaN,  0.6,  2.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1977, NaN, 0.84,  NaN,  NaN,  NaN, 0.21, 0.02,  NaN, 0.30, 0.34, 50.1,  NaN,  NaN,  NaN,  7.2, 13.3,  NaN,  6.9, 19.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.77,  NaN,  NaN,  NaN, 0.03, -0.08,  NaN, 0.20, 0.23, 47.5,  NaN,  NaN,  NaN,  4.7, 10.4,  NaN,  5.5, 17.0,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1978, NaN, -0.55,  NaN,  NaN,  NaN, -0.03, -0.30,  NaN, -0.43, -0.33,  0.5,  NaN,  NaN,  NaN, 14.6,  5.7,  NaN,  5.9,  6.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.61,  NaN,  NaN,  NaN, -0.23, -0.39,  NaN, -0.53, -0.44,  0.4,  NaN,  NaN,  NaN,  7.6,  4.5,  NaN,  3.8,  4.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1979, NaN, -0.00, 0.94, 0.72, 1.17, 0.62, 0.36, 0.59, 0.60, 0.62, 27.1, 47.3, 36.1, 59.6, 43.7, 26.7, 26.4, 34.0, 37.6, 167.1, 154.8, 154.2, 127.5, 150.9, 27.8, 34.5, 29.9, 24.5, 29.2, -0.08, 0.89, 0.75, 1.00, 0.41, 0.26, 0.49, 0.46, 0.52, 25.8, 45.3, 38.2, 50.0, 32.2, 23.4, 23.0, 26.1, 33.0, 158.5, 148.4, 152.1, 127.5, 146.6, 25.8, 31.5, 29.5, 25.0, 28.0, 
1980, NaN, -0.44, 0.04, -0.21, 0.09, -0.38, -0.48, 0.04, -0.61, -0.25,  2.9, 18.8, 10.0, 23.4,  2.5,  3.4, 16.5,  6.5, 10.5, 112.1, 113.4, 111.4, 96.4, 108.3, 21.4, 23.3, 21.4, 13.8, 20.0, -0.50, -0.02, -0.22, -0.06, -0.61, -0.59, -0.05, -0.75, -0.35,  2.5, 18.2, 10.2, 19.6,  1.6,  3.0, 14.8,  5.7,  9.5, 106.6, 107.7, 109.5, 96.3, 105.0, 19.6, 21.0, 20.8, 13.7, 18.7, 
1981, NaN, -0.52, 0.24, -0.22, 0.35, 0.14, -0.36, 0.32, 0.04, -0.00,  4.9, 14.4,  2.6, 17.9, 11.4,  1.0, 24.4, 11.9, 11.1, 110.9, 114.8, 109.7, 89.9, 106.3, 26.9, 27.3, 24.1, 18.8, 24.3, -0.59, 0.18, -0.24, 0.19, -0.11, -0.48, 0.22, -0.14, -0.12,  3.8, 12.5,  2.4, 12.4,  6.6,  0.6, 20.7,  8.1,  8.4, 104.7, 109.1, 107.2, 89.8, 102.7, 25.1, 24.6, 23.2, 18.3, 22.8, 
1982, NaN, -1.00, -0.64, -0.41, -0.48, -1.11, -1.24, -0.54, -1.42, -0.85,  1.6,  0.5,  1.0,  0.6,  0.3,  0.4,  1.0,  0.3,  0.7, 61.1, 74.9, 65.8, 78.1, 70.0,  8.3, 12.0,  9.5,  6.9,  9.2, -1.08, -0.72, -0.45, -0.62, -1.38, -1.35, -0.64, -1.58, -0.98,  1.4,  0.3,  0.9,  0.3,  0.1,  0.3,  0.6,  0.2,  0.5, 56.0, 69.5, 62.6, 77.5, 66.4,  7.1, 10.6,  8.8,  6.4,  8.2, 
1983, NaN, -1.98, -0.98, -0.97, -0.84, -1.44, -1.71, -0.84, -1.84, -1.33,  0.5,  0.6,  0.1,  0.4,  0.6,  0.1,  1.4,  0.6,  0.5, 46.9, 56.6, 48.5, 59.3, 52.8,  6.2,  7.4,  6.0,  1.4,  5.2, -2.07, -1.07, -1.00, -1.00, -1.73, -1.83, -0.93, -2.03, -1.46,  0.4,  0.4,  0.1,  0.3,  0.3,  0.1,  1.2,  0.3,  0.4, 43.1, 50.9, 45.9, 58.4, 49.6,  5.4,  6.0,  5.6,  1.2,  4.5, 
1984, 29286, -1.54, -0.36, -0.62, -0.30, -0.68, -1.12, -0.32, -0.89, -0.73,  1.6,  5.7,  1.6,  4.2,  5.4,  1.2,  5.1,  5.4,  3.8, 77.9, 90.3, 83.1, 77.4, 82.2, 13.9, 14.4, 13.3,  8.5, 12.5, -1.64, -0.46, -0.67, -0.47, -1.00, -1.26, -0.43, -1.11, -0.88,  1.2,  4.2,  1.5,  3.3,  3.1,  0.9,  3.7,  3.3,  2.7, 72.1, 82.9, 79.0, 76.4, 77.6, 12.1, 12.2, 12.2,  7.6, 11.0, 
1985, 105660, -0.08, 0.56, 0.35, 0.73, 0.43, -0.20, 0.30, 0.36, 0.31, 29.2, 25.8, 17.3, 31.5, 20.2,  6.9, 17.3, 20.5, 21.1, 110.9, 131.8, 114.6, 98.3, 113.9, 20.7, 30.1, 23.8, 22.3, 24.2, -0.19, 0.45, 0.31, 0.52, 0.09, -0.36, 0.18, 0.11, 0.14, 25.4, 20.6, 15.8, 25.9,  8.8,  4.4, 12.8, 12.0, 15.7, 103.7, 125.1, 110.9, 97.6, 109.3, 18.5, 26.6, 22.5, 21.6, 22.3, 
